Oficina;Unidad;Organismo;Raiz;Nivel Administracion;Comunidad;Provincia;Fecha ActivaciÃ³n
O00003403 - CORREOS CUEVAS DEL ALMANZORA - E;EA0023982 - CORREOS CUEVAS DEL ALMANZORA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003404 - CORREOS DALIAS - E;EA0023990 - CORREOS DALIAS;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003405 - CORREOS EL ALQUIAN - E;EA0024019 - CORREOS EL ALQUIAN;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003406 - CORREOS EL EJIDO - E;EA0024029 - CORREOS EL EJIDO;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003407 - CORREOS FIÑANA - E;EA0024136 - CORREOS FIÑANA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003408 - CORREOS GADOR - E;EA0024172 - CORREOS GADOR;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003409 - CORREOS GARRUCHA - E;EA0024182 - CORREOS GARRUCHA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003410 - CORREOS GERGAL - E;EA0024190 - CORREOS GERGAL;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003411 - CORREOS HUERCAL DE ALMERIA - E;EA0024274 - CORREOS HUERCAL DE ALMERIA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003412 - CORREOS HUERCAL-OVERA - E;EA0024275 - CORREOS HUERCAL-OVERA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
